instance anchor smt mx
biodegradation.109  9.071  8.714  2.904
biodegradation.110  8.578  3.022  1.707
biodegradation.111  9.802  0.525  1.398
biodegradation.112  20.766  0.970  1.349
biodegradation.113  7.986  0.515  1.198
biodegradation.114  7.431  34.705  3.185
biodegradation.115  8.758  1.299  1.928
biodegradation.116  6.777  59.341  3.266
biodegradation.117  8.805  0.467  1.613
biodegradation.118  12.830  2.185  1.422
biodegradation.119  6.825  36.301  3.387
biodegradation.120  9.203  4.451  2.782
biodegradation.121  7.351  19.171  3.416
biodegradation.122  7.840  1.331  2.197
biodegradation.123  9.527  1.093  1.338
biodegradation.124  5.660  42.154  3.584
biodegradation.125  10.822  0.852  2.090
biodegradation.126  5.656  22.137  3.233
biodegradation.127  6.422  8.086  3.000
biodegradation.128  8.916  1.411  1.970
biodegradation.129  8.688  1.173  2.297
biodegradation.130  6.868  9.307  3.374
biodegradation.131  5.653  18.617  3.599
biodegradation.132  8.618  6.276  2.663
biodegradation.133  11.201  1.330  1.463
biodegradation.134  5.727  3.094  3.037
biodegradation.135  5.378  12.993  3.783
biodegradation.136  6.237  1.054  2.746
biodegradation.137  6.891  3.768  2.831
biodegradation.138  7.552  60.605  3.251
biodegradation.139  65.987  0.411  1.250
biodegradation.140  7.033  97.647  4.100
biodegradation.141  8.194  3.300  1.857
biodegradation.142  6.969  8.401  2.980
biodegradation.143  5.951  45.738  3.411
biodegradation.144  10.178  5.908  2.216
biodegradation.145  7.036  21.034  3.633
biodegradation.146  9.053  10.111  2.961
biodegradation.147  8.880  0.953  1.610
biodegradation.148  8.045  170.392  3.119
biodegradation.149  5.799  28.206  3.912
biodegradation.150  6.002  4.344  3.120
biodegradation.151  7.377  57.913  3.217
biodegradation.152  7.104  14.100  3.765
biodegradation.153  7.626  4.413  3.507
biodegradation.154  7.382  1.915  3.226
biodegradation.155  7.576  4.089  3.248
biodegradation.156  4.726  16.962  4.253
biodegradation.157  9.378  0.427  1.141
biodegradation.158  5.760  20.600  4.002
biodegradation.159  8.577  24.694  2.943
biodegradation.160  8.440  0.589  1.450
biodegradation.161  5.797  3.951  3.631
biodegradation.162  6.192  5.045  4.271
biodegradation.163  7.768  1.856  2.502
biodegradation.164  7.316  5.848  3.302
biodegradation.165  6.616  7.840  2.800
biodegradation.166  8.711  7.437  3.807
biodegradation.167  6.287  10.933  3.427
biodegradation.168  6.426  8.273  3.737
biodegradation.169  6.128  22.946  4.026
biodegradation.170  9.661  1.103  1.402
biodegradation.171  20.688  0.822  1.855
biodegradation.172  6.978  1.292  2.157
biodegradation.173  7.905  0.715  1.340
biodegradation.174  7.687  2.319  2.244
biodegradation.175  7.838  35.641  4.022
biodegradation.176  20.902  0.577  1.202
biodegradation.177  9.331  0.735  1.466
biodegradation.178  7.954  3.129  3.119
biodegradation.179  23.060  2.145  1.803
biodegradation.180  8.779  70.708  3.885
biodegradation.181  14.274  1.374  1.787
biodegradation.182  10.219  0.822  1.566
biodegradation.183  7.232  53.022  4.213
biodegradation.184  6.566  4.796  2.801
biodegradation.185  9.275  4.507  4.223
biodegradation.186  5.791  15.739  3.943
biodegradation.187  6.369  38.582  3.418
biodegradation.188  6.963  1.710  2.081
biodegradation.189  11.860  0.331  1.273
biodegradation.190  7.151  16.234  5.281
biodegradation.191  7.485  17.183  3.644
biodegradation.192  10.638  0.687  1.229
biodegradation.193  8.786  0.863  1.997
biodegradation.194  7.728  1.175  2.750
biodegradation.195  7.762  12.432  5.154
biodegradation.196  6.927  6.128  4.857
biodegradation.197  17.204  1.528  1.553
biodegradation.198  23.516  1.836  1.775
biodegradation.199  6.427  4.577  4.302
divorce.0  19.060  0.087  0.013
divorce.1  20.721  0.048  0.013
divorce.2  20.093  0.170  0.014
divorce.3  19.464  0.044  0.013
divorce.4  18.830  0.075  0.012
divorce.5  17.648  0.058  0.013
divorce.6  20.118  0.074  0.010
divorce.7  19.333  0.047  0.012
divorce.8  19.498  0.042  0.013
divorce.9  18.702  0.043  0.013
divorce.10  20.051  0.053  0.012
divorce.11  19.161  0.047  0.012
divorce.12  16.105  0.052  0.012
divorce.13  19.195  0.047  0.012
divorce.14  20.948  0.107  0.013
divorce.15  20.898  0.079  0.010
divorce.16  16.357  0.080  0.010
divorce.17  19.196  0.052  0.012
divorce.18  20.734  0.060  0.016
divorce.19  18.356  0.055  0.010
divorce.20  19.059  0.047  0.014
divorce.21  20.964  0.050  0.010
divorce.22  21.660  0.050  0.013
divorce.23  13.493  0.093  0.009
divorce.24  19.193  0.049  0.011
divorce.25  24.264  0.046  0.013
divorce.26  18.352  0.047  0.009
divorce.27  16.396  0.047  0.009
divorce.28  15.935  0.048  0.009
divorce.29  17.379  0.062  0.010
divorce.30  20.530  0.044  0.012
divorce.31  19.695  0.076  0.011
divorce.32  21.326  0.046  0.011
divorce.33  20.563  0.047  0.011
divorce.34  18.137  0.047  0.011
divorce.35  15.542  0.047  0.013
divorce.36  21.128  0.053  0.012
divorce.37  21.061  0.049  0.013
divorce.38  17.156  0.046  0.014
divorce.39  18.058  0.046  0.013
divorce.40  20.936  0.047  0.013
divorce.41  23.036  0.046  0.011
divorce.42  18.303  0.044  0.011
divorce.43  19.650  0.046  0.012
divorce.44  20.737  0.047  0.013
divorce.45  18.501  0.046  0.014
divorce.46  18.978  0.047  0.013
divorce.47  21.795  0.047  0.014
divorce.48  16.654  0.047  0.012
divorce.49  21.500  0.046  0.012
divorce.50  18.062  0.046  0.012
divorce.51  19.856  0.047  0.014
divorce.52  22.256  0.046  0.012
divorce.53  20.817  0.045  0.012
divorce.54  19.074  0.046  0.012
divorce.55  20.417  0.046  0.012
divorce.56  20.915  0.046  0.013
divorce.57  20.502  0.046  0.012
divorce.58  17.324  0.047  0.015
divorce.59  16.325  0.047  0.014
divorce.60  19.508  0.046  0.013
divorce.61  20.681  0.046  0.012
divorce.62  18.578  0.047  0.013
divorce.63  20.942  0.046  0.013
divorce.64  18.713  0.047  0.013
divorce.65  21.953  0.047  0.011
divorce.66  21.909  0.048  0.012
divorce.67  21.140  0.046  0.012
divorce.68  18.388  0.048  0.014
divorce.69  17.820  0.047  0.014
divorce.70  17.744  0.068  0.007
divorce.71  17.277  0.065  0.014
divorce.72  20.949  0.041  0.013
divorce.73  21.111  0.042  0.013
divorce.74  15.156  0.041  0.013
divorce.75  19.542  0.089  0.011
divorce.76  18.105  0.047  0.012
divorce.77  17.059  0.043  0.013
divorce.78  20.162  0.049  0.012
divorce.79  17.460  0.047  0.012
divorce.80  21.434  0.048  0.010
divorce.81  17.521  0.060  0.011
divorce.82  20.098  0.050  0.012
divorce.83  20.347  0.047  0.012
divorce.84  20.151  0.042  0.011
divorce.85  19.744  0.051  0.011
divorce.86  17.946  0.049  0.010
divorce.87  19.785  0.047  0.012
divorce.88  17.662  0.047  0.012
divorce.89  19.251  0.045  0.010
divorce.90  17.546  0.046  0.010
divorce.91  15.753  0.047  0.013
divorce.92  19.769  0.049  0.011
divorce.93  20.840  0.387  0.013
divorce.94  20.465  0.050  0.011
divorce.95  20.318  0.039  0.014
divorce.96  18.833  0.038  0.014
divorce.97  17.914  0.058  0.011
divorce.98  20.202  0.058  0.015
divorce.99  17.007  0.044  0.012
divorce.100  18.519  0.049  0.013
divorce.101  20.710  0.039  0.011
divorce.102  16.435  0.039  0.011
divorce.103  19.854  0.049  0.015
divorce.104  19.023  0.048  0.013
divorce.105  18.975  0.049  0.013
divorce.106  16.474  0.039  0.011
divorce.107  20.336  0.038  0.011
divorce.108  19.423  0.049  0.013
divorce.109  20.094  0.047  0.011
divorce.110  16.562  0.094  0.008
divorce.111  20.638  0.054  0.011
divorce.112  19.914  0.046  0.008
divorce.113  19.619  0.050  0.008
divorce.114  20.215  0.050  0.008
divorce.115  21.255  0.047  0.009
divorce.116  21.103  0.047  0.008
divorce.117  16.061  0.042  0.008
divorce.118  18.418  0.039  0.009
divorce.119  19.802  0.049  0.008
divorce.120  20.431  0.049  0.008
divorce.121  23.950  0.049  0.008
divorce.122  20.739  0.038  0.008
divorce.123  20.883  0.047  0.008
divorce.124  18.484  0.071  0.011
divorce.125  20.826  0.040  0.010
divorce.126  21.200  0.048  0.008
divorce.127  21.552  0.050  0.011
divorce.128  19.923  0.048  0.011
divorce.129  16.476  0.049  0.013
divorce.130  17.594  0.065  0.010
divorce.131  16.806  0.039  0.008
divorce.132  20.646  0.039  0.008
divorce.133  19.922  0.039  0.014
divorce.134  16.742  0.039  0.013
divorce.135  19.525  0.051  0.012
divorce.136  18.426  0.055  0.011
divorce.137  18.195  0.038  0.013
divorce.138  23.336  0.052  0.011
divorce.139  16.502  0.045  0.012
divorce.140  16.525  0.038  0.013
divorce.141  21.742  0.049  0.012
divorce.142  18.820  0.048  0.013
divorce.143  17.463  0.038  0.022
divorce.144  21.833  0.066  0.024
divorce.145  18.409  0.093  0.013
divorce.146  19.754  0.039  0.010
divorce.147  16.986  0.039  0.010
divorce.148  17.492  0.054  0.011
